ac_number,constituency,region,reserved,party_2026,candidate_2026,winner_votes_2026,total_votes_2026,margin_2026,vote_share_2026,party_2021,candidate_2021,winner_votes_2021,total_votes_2021,margin_2021,vote_share_2021,turnout_2021,seat_status,vote_share_bucket
219,Sankarankovil,South,SC,AIADMK,"DR. DHILIPAN JAISHANKAR",64865,196480,6489,33.0,DMK,"RAJA E",71347,183338,5297,38.9,71.48,Flipped,"Below 35%"
220,Vasudevanallur,South,SC,DMK,"E. RAJA",63045,189795,6583,33.2,DMK,"SADHAN THIRUMALAIKUMAR, DOCTOR.T",68730,175881,2367,39.1,71.87,Retained,"Below 35%"
221,Kadayanallur,South,GEN,DMK,"RAJENDRAN. T. M",79832,221951,6253,36.0,AIADMK,C.KRISHNAMURALI,88474,205374,24349,43.1,70.35,Flipped,"35% to 50%"
222,Tenkasi,South,GEN,DMK,"DR.KALAI KATHIRAVAN",79699,234987,10299,33.9,INC,"PALANI NADAR.S",89315,214108,370,41.7,72.4,Flipped,"Below 35%"
223,Alangulam,South,GEN,DMK,"PAUL MANOJ PANDIAN",69170,220857,7798,31.3,AIADMK,"PAUL MANOJ PANDIAN",74153,203478,3539,36.4,77.4,Flipped,"Below 35%"
224,Tirunelveli,South,GEN,TVK,MURUGHAN.R.S.,75840,218425,11414,34.7,BJP,"Nainar Nagenthran",92282,197587,23107,46.7,66.91,Flipped,"Below 35%"
225,Ambasamudram,South,GEN,AIADMK,"DR.ESAKKI SUBAYA",65589,191195,10245,34.3,AIADMK,E.SUBAYA,85211,177681,16915,48.0,72.03,Retained,"Below 35%"
226,Palayamkottai,South,GEN,DMK,"M.ABDUL WAHAB",79744,180620,13805,44.2,DMK,"ABDUL WAHAB .M",89117,161091,52141,55.3,57.76,Retained,"35% to 50%"
227,Nanguneri,South,GEN,TVK,"REDDIARPATTI V. NARAYANAN",74952,209419,16419,35.8,INC,"RUBY R MANOHARAN",75902,192522,16486,39.4,68.59,Flipped,"35% to 50%"
228,Radhapuram,South,GEN,TVK,"DR.SATHISH CHRISTOPHER",69947,199931,12313,35.0,DMK,M.Appavu,82331,187310,5925,44.0,68.08,Flipped,"35% to 50%"
229,Kanniyakumari,South,GEN,AIADMK,"THALAVAI SUNDARAM. N",75045,239150,214,31.4,AIADMK,"THALAVAI SUNDARAM N.",109745,224874,16213,48.8,75.19,Retained,"Below 35%"
230,Nagercoil,South,GEN,DMK,AUSTIN,69880,196280,7570,35.6,BJP,"Gandhi M.R.",88804,184185,11669,48.2,67.06,Flipped,"35% to 50%"
231,Colachal,South,GEN,INC,"THARAHAI CUTHBERT",66207,199013,2833,33.3,INC,"Prince J.G.",90681,182969,24832,49.6,67.27,Retained,"Below 35%"
232,Padmanabhapuram,South,GEN,CPI(M),"CHELLASWAMY. R",68938,180555,15569,38.2,DMK,"Mano Thangaraj, T.",87744,170156,26885,51.6,70.08,Flipped,"35% to 50%"
233,Vilavancode,South,GEN,INC,"PRAVEEN T.T",70755,174927,20970,40.4,INC,"VIJAYADHARANI S",87473,167836,28669,52.1,66.83,Retained,"35% to 50%"
234,Killiyoor,South,GEN,INC,"RAJESH KUMAR. S",66434,177534,1311,37.4,INC,"RAJESH KUMAR  S",101541,169918,55400,59.8,65.87,Retained,"35% to 50%"
